prev_feedback_type,prev_feedback_time,prev_reward_time,prev_response,contrast_left,contrast_right,response
1.0,1.380557104070249,-2.307504003706299,-1.0,0.25,1.0,-1.0
1.0,1.2045512370273173,-3.6334003740289518,-1.0,0.5,0.0,1.0
1.0,1.179908347760147,-2.0435606542631604,1.0,1.0,0.0,1.0
1.0,1.3802765962435615,-1.8262776698981043,1.0,0.0,0.0,-1.0
-1.0,1.902592268846206,-3.333991585023796,-1.0,0.0,0.0,0.0
1.0,2.588020476219981,-3.2359003705741998,0.0,0.25,0.5,-1.0
1.0,1.1649477180283156,-1.5562612582288011,-1.0,0.0,1.0,-1.0
1.0,1.057902143489855,-3.3299561592286864,-1.0,0.0,0.0,0.0
1.0,2.591884862340521,-2.2615433780612193,0.0,1.0,0.25,1.0
1.0,1.5661563138745578,-6.957027809668716,1.0,1.0,0.25,1.0
1.0,1.394141021221344,-3.9119525201892884,1.0,0.0,0.0,0.0
1.0,2.5322562951895407,-3.490506213301501,0.0,0.0,0.0,0.0
1.0,2.6778278579753305,-5.540767546038865,0.0,1.0,0.25,1.0
1.0,1.3707935512985614,-2.836255264196325,1.0,0.0,0.0,0.0
1.0,2.4863033065906848,-3.113121153039174,0.0,1.0,1.0,1.0
1.0,1.4909685685244085,-1.8019591581920622,1.0,0.5,0.25,1.0
1.0,1.3063366566045715,-2.0820242871807295,1.0,0.25,1.0,-1.0
1.0,1.1403150890314464,-6.682379774916399,-1.0,0.5,0.0,1.0
1.0,1.2770391448126475,-2.7443844255313934,1.0,0.0,0.5,-1.0
1.0,1.119169050013852,-1.585970601252825,-1.0,1.0,0.0,1.0
1.0,1.3245324352064927,-2.0800053668151577,1.0,0.5,1.0,1.0
-1.0,1.4176748351827655,-4.629051120132431,1.0,0.25,1.0,-1.0
1.0,1.5620111722764705,-2.3767486254829464,-1.0,1.0,0.25,1.0
1.0,1.1490074630294203,-2.057128294194058,1.0,1.0,0.0,1.0
1.0,1.170702683961622,-3.2511681540164545,1.0,1.0,0.5,1.0
1.0,1.3492963197811605,-1.97367395060337,1.0,0.5,1.0,1.0
-1.0,1.1518080525928553,-8.00029977964573,1.0,0.0,0.25,-1.0
1.0,1.1401544006612312,-2.432274671264395,-1.0,0.5,0.0,1.0
1.0,1.2095465654109603,-5.812834574633712,1.0,0.25,0.5,1.0
-1.0,1.3437118172508917,-4.195997228589022,1.0,0.25,1.0,-1.0
1.0,1.2128619485861236,-5.242343463695306,-1.0,0.25,0.5,-1.0
1.0,1.2806892318673135,-2.2578979709925306,-1.0,0.5,1.0,-1.0
1.0,1.1750721496049437,-2.1664923171863393,-1.0,0.0,0.0,0.0
1.0,2.7923958310062744,-5.876233142021761,0.0,0.0,0.0,-1.0
-1.0,1.2524290858617633,-1.7220512076135037,-1.0,0.0,0.0,1.0
-1.0,2.5106971191052025,-2.3857589028804114,1.0,0.0,0.0,0.0
1.0,2.4782055731106993,-2.348505475050615,0.0,0.0,0.0,-1.0
-1.0,1.2135871247456862,-1.45737279967193,-1.0,0.0,0.0,-1.0
-1.0,1.2478468593373009,-2.5252563991191437,-1.0,0.0,0.0,-1.0
-1.0,1.331132093787346,-3.0347636173613637,-1.0,0.0,0.0,-1.0
-1.0,1.4918217067117894,-3.0618001851244117,-1.0,0.0,0.0,-1.0
-1.0,1.6639233475456194,-3.067507680260178,-1.0,0.0,0.0,-1.0
-1.0,2.512638925901797,-2.7763128301282904,-1.0,0.0,0.0,-1.0
-1.0,1.8806738881650062,-4.180663637061571,-1.0,0.0,0.0,0.0
1.0,2.832316816641651,-2.38967357981835,0.0,1.0,0.25,1.0
1.0,1.242242951911635,-4.8458462792259525,1.0,0.0,1.0,-1.0
1.0,1.2674301789706988,-3.1073985642852904,-1.0,0.0,0.0,0.0
1.0,2.5535918272026947,-1.9528976057208638,0.0,0.5,0.0,1.0
1.0,1.215857205802763,-1.6196006586851581,1.0,0.0,0.5,-1.0
1.0,1.7168428565153135,-3.6726268376578446,-1.0,0.0,0.25,-1.0
1.0,1.3913261067611984,-1.6325881005290057,-1.0,0.0,0.0,1.0
-1.0,1.5211567844954743,-2.1650158609065784,1.0,0.0,0.0,1.0
-1.0,1.2581537226800492,-3.8330093526950577,1.0,0.0,0.0,0.0
1.0,2.6308550700434807,-3.8362454212597186,0.0,0.5,1.0,-1.0
1.0,1.2322858207534182,-1.658997680026573,-1.0,0.25,0.25,-1.0
-1.0,1.4130156574888133,-3.260919527324745,-1.0,0.0,0.5,-1.0
1.0,1.4144118223218811,-3.526083647414339,-1.0,0.25,0.25,-1.0
1.0,1.9280343653499585,-2.2448915112128134,-1.0,0.25,1.0,-1.0
1.0,1.1176031407873097,-2.7055020960626734,-1.0,0.0,0.0,-1.0
-1.0,1.6829236440950126,-2.0356497949138657,-1.0,0.0,0.0,-1.0
-1.0,1.2644387237498904,-2.782945864993735,-1.0,0.0,0.0,-1.0
-1.0,2.680555562373229,-3.459636172174328,-1.0,0.0,0.0,0.0
1.0,2.7394081031682163,-3.014759763079269,0.0,0.5,1.0,-1.0
1.0,1.3570344107326946,-1.2851396929406746,-1.0,0.25,0.5,-1.0
1.0,1.2044511125124018,-1.8338084723094425,-1.0,0.0,0.0,-1.0
-1.0,1.724310562590972,-1.5587314773466687,-1.0,0.0,0.0,0.0
1.0,2.611928192258347,-2.609288525890179,0.0,1.0,0.25,1.0
1.0,1.2176778133235757,-1.6397488077907383,1.0,0.25,0.5,-1.0
1.0,1.3542009899226741,-2.217397607285079,-1.0,0.0,0.5,-1.0
1.0,1.2640221244348595,-2.5912486512887654,-1.0,0.0,0.0,-1.0
-1.0,2.2216010326336573,-1.7284176894744405,-1.0,0.0,0.0,0.0
1.0,2.7630591750987605,-2.4400644799151223,0.0,0.5,0.0,1.0
1.0,1.2392185046073791,-3.188237790222729,1.0,0.25,1.0,-1.0
1.0,1.115796870291888,-2.706419787156392,-1.0,1.0,0.25,1.0
1.0,1.286147111292621,-2.5056510159988648,1.0,0.0,0.0,-1.0
-1.0,1.1273200188120427,-2.3803744108743103,-1.0,0.0,0.0,0.0
1.0,2.4577065362768735,-2.2452220611079383,0.0,0.0,0.25,-1.0
1.0,1.0854038332654454,-2.256454116942791,-1.0,0.0,0.0,-1.0
-1.0,1.0637437076793503,-2.6134884719272122,-1.0,0.0,0.0,0.0
1.0,2.4433509234297617,-5.1573326677042814,0.0,0.0,0.0,-1.0
-1.0,2.4940800445508557,-4.539964145638578,-1.0,0.0,0.0,-1.0
-1.0,2.66851003104091,-3.081257952815463,-1.0,0.0,0.0,-1.0
-1.0,1.0372007651864124,-2.704057034501375,-1.0,0.0,0.0,-1.0
-1.0,1.138153714453665,-2.322126686559386,-1.0,0.0,0.0,0.0
1.0,2.5631787112617985,-2.5474642213268908,0.0,1.0,0.0,1.0
